genres,2009,2010,2011,2012,2014,2015,2016,2017
action,34587,0,0,0,7991,10505470,73785,0
adventure,1997,0,0,0,2924620,18772,246872,0
casual,484,0,0,0,2924620,0,5405,0
early access,0,0,0,0,1195,0,5405,0
free to play,0,0,0,0,2917824,10558163,0,0
indie,1997,0,0,0,7991,18772,246872,0
massively multiplayer,0,0,0,0,2917824,22619,0,0
racing,0,0,1038354,0,1195,0,0,0
rpg,0,109059,0,2022,2917824,22619,173087,0
simulation,0,79585,0,0,1195,0,173087,0
sports,0,0,0,0,1195,0,0,0
strategy,0,109059,0,0,2689,0,5405,0
